scheme_name,scheme_type,age_group,gender,social_category,annual_income_group,location,scheme_goal,eligibility,benefits,application_process,scheme_website,total_returns,time_duration,amount_to_be_paid,payment_interval
StartUp India Fund,Government,19-35,All,All,All,All India,Support for Startups,Registered startup with innovative business idea,"Funding up to INR 1 crore, mentorship",Apply online with business plan and registration documents,https:// startupindia.gov.in,N/A,N/A,N/A,N/A
Digital Wallet Access Scheme,Private,19-60,All,All,Middle,Urban,Financial Inclusion through Digital Payments,Bank account holder,Free digital wallet with INR 1000 recharge,"Download app, verify identity",https://digitalwallet.in,N/A,N/A,N/A,N/A
Child Education Fund,Government,6-18,All,All,Middle,All India,Savings for Child's Education,Parents or guardians of children aged 6-18,"Tax benefits, interest rate 6% annually",Online or offline registration,https://childeducationfund.in,"Interest rate 6%, maturity in 15 years",15 years,N/A,N/A
Minority Welfare Savings Account,Government,All,All,Minority,Below Poverty Line,All India,Financial Savings for Minority Communities,Members of minority communities with valid ID,"Tax benefits, savings account with interest rate 5%",Apply at designated banks or online,https://minoritywelfare.in,"Interest rate 5%, maturity varies",N/A,N/A,N/A
Microinsurance for Farmers,Government,19-60,All,OBC,Below Poverty Line,Rural India,Crop and Livestock Insurance,Farming households with landholding,Insurance coverage for crops and livestock,Register at local agriculture offices or via mobile app,https://microinsurefarmers.in,N/A,N/A,N/A,N/A
NRI Investment Scheme,Private,All,All,All,Upper,All India,Investment Opportunities for NRIs,NRI status verified,Access to exclusive investment products,Online application with NRI documentation,https://nriinvestment.com,Interest rate 8%,3 years,N/A,N/A
Skill Development Loan,Private,19-35,All,All,Middle,All India,Skill Development and Vocational Training,Applicant with a confirmed training course acceptance,Loan up to INR 2 lakhs at 12% interest,Online application with course details,https://skillloan.in,"Interest rate 12%, repayment in 2 years",2 years,INR 2 lakhs max,Monthly
Rural Electrification Subsidy,Government,All,All,All,Below Poverty Line,Rural Areas,Electrification of Rural Areas,Rural households without electricity connection,Subsidy for installing electricity connections,Application through local electricity offices,https://ruralelectric.in,N/A,N/A,N/A,N/A
Pradhan Mantri Jan Dhan Yojana,Government,6-18,All,All,Below Poverty Line,All India,Bank Account Inclusion,Open to all citizens with valid ID,"Zero balance accounts, debit card facilities",Visit bank branches with ID proofs,https://pmjdy.gov.in,N/A,Lifetime,N/A,N/A
Aadhaar Seeded Microinsurance,Government,19-35,All,All,Middle,Urban and Rural,Insurance Coverage,Aadhaar linked bank account,Accident and health insurance coverage,Online or via bank agents,https://uidai.gov.in,N/A,1 year,N/A,N/A
Vaya Vandana Yojana,Government,60+,All,All,All,All India,Pension Scheme,Senior citizens with valid ID,"Monthly pension, financial security",Apply through bank or post offices,https://pensionindian.gov.in,Interest rate 8% p.a.,Lifetime,N/A,Monthly
Mudra Loan Scheme,Government,19-60,All,OBC,Below Poverty Line,Rural and Urban,Microcredit for small businesses,"Small business owners, entrepreneurs","Up to 10 lakh INR loan, collateral-free",Apply at bank branches or online,https://mudra.org.in,Interest rate 12-15% p.a.,5 years,Varies with loan amount,Monthly
LIC New Children's Plan,Private,0-5,All,All,Upper,All India,Savings and Insurance for children,Parents or guardians of children,"Maturity amount, life insurance",Online or at LIC offices,https://licindia.in,"Interest + bonus, approx 9% p.a.",18 years,N/A,Monthly or yearly
NSDL e-Governance Micro Pension,Government,36-60,All,ST,Middle,"Urban, Rural",Pension for informal sector,Workers in informal sectors with bank accounts,Monthly pension benefits,Online registration or bank agent,https://nsdl.co.in,N/A,N/A,N/A,Monthly
HDFC Life Cash Accumulator Plan,Private,19-35,All,General,Upper,All India,Savings and investment,Individuals with stable income,"Lump sum at maturity, recurring benefits",Online application or via agents,https://hdfclife.com,Approx 11% interest rate,10 years,N/A,Monthly
Rural Electrification and Financial Inclusion,Government,All,All,All,All,Rural Areas,Financial inclusion through electrification,Rural households,"Access to banking, electricity connections",Local government schemes and bank outreach,https://ruralindia.gov.in,N/A,N/A,N/A,N/A
Kotak Mahindra Personal Loan,Private,19-60,All,General,Middle,Urban,Personal finance support,Employed individuals with stable income,Loan up to 25 lakh INR,Online or at bank branches,https://kotak.com,Interest rate 14-18% p.a.,5 years,Varies,Monthly
Pradhan Mantri Awas Yojana,Government,19-60,All,All,Below Poverty Line,Urban and Rural,Affordable Housing,Lower income households,Subsidized loans for housing,Apply through designated banks or online,https://pmay.gov.in,N/A,Lifetime,N/A,N/A
Canara Bank Micro Enterprise Loan,Government,19-60,All,OBC,Below Poverty Line,"Rural, Urban",Microenterprise support,Micro entrepreneurs with business registration,Up to 5 lakh INR loan,Bank application and verification,https://canarabank.in,Interest 13-17% p.a.,3-5 years,Varies with loan,Monthly
SBI Life eShield Insurance,Private,19-60,All,All,Middle,All India,Life Insurance,Policyholders and their families,"Life cover, payout on maturity or to beneficiaries",Online or via SBI branches,https://sbilife.co.in,N/A,N/A,N/A,N/A
Rural Credit Cooperative Society Scheme,Government,19-60,All,All,All,Rural Areas,Rural credit facilitation,Members of cooperative societies,"Access to credit, financial support",Through cooperative societies,https://rccs.gov.in,Interest rate 12-15%,N/A,N/A,Monthly
Pradhan Mantri Jan Dhan Yojana,Government,6-18,All,All,Below Poverty Line,All India,Savings and Banking Access,Anyone above 10 years old with valid ID,"Zero balance accounts, no minimum balance requirement",Open an account at designated bank branches with ID proof,https://pmjdy.gov.in,N/A,Lifetime,N/A,N/A
Stand Up India Scheme,Government,19-35,All,OBC,Below Poverty Line,All India,Microcredit for SC/ST entrepreneurs,SC/ST entrepreneurs above 18 years with business plan,"Bank loans up to 1 crore, interest subsidies",Apply through designated bank branches with business plan and ID,https://standupmitra.in,Interest rate varies (around 9%),Up to 7 years,Interest as applicable,Quarterly
PM Mudra Yojana,Government,19-60,All,All,Middle,Urban and Rural,Microfinance for small businesses,Small business owners and entrepreneurs,"Loan amounts from 50,000 to 10 lakh, collateral-free",Apply via bank or NBFC branches with business details,https://mudrayojana.com,Interest rates 11-14%,Up to 5 years,Interest + principal,Monthly or Quarterly
Sukanya Samriddhi Yojana,Government,0-18,Female,All,All,All India,Savings for girl child's education and marriage,Parents or guardians can open an account for girl child under 10 years,"Interest rate around 7.6%, tax benefits, maturity amount in INR",Open account at authorized bank branches or post offices,https://sukanyasamriddhi.treasury.gov.in,Interest approx. 7.6% p.a.,21 years or at marriage,Minimum Rs. 250 annually,Annual
Aadhaar Enabled Payment System,Government,All,All,All,All,All India,Digital payment facilitation,Any individual with Aadhaar number,"Cashless transactions, easy access to banking services",Register with authorized banking institution with Aadhaar,https://aeps.in,N/A,Ongoing,N/A,N/A
LIC Jeevan Akshay VI,Private,36-60,All,All,Upper,Urban,Retirement pension plan,Individuals above 60 years of age,"Guaranteed pension, tax benefits",Buy policy through LIC agents or online,https://licindia.in,"Pension as per plan, interest rate around 7%",Lifetime or fixed term,Premium depends on plan,"Monthly, Quarterly, Annually"
HDFC Microfinance Loan,Private,19-60,All,OBC,Below Poverty Line,Urban and Rural,Microcredit for small entrepreneurs,Small entrepreneurs with business registered for over 1 year,Loan up to Rs. 2 lakh with flexible repayment,Apply through HDFC branch with business documentation,https://hdfcmicrofinance.com,Interest rate around 15%,Up to 3 years,Interest + principal,Monthly
ICICI Bank Financial Literacy Program,Private,All,All,All,All,All India,Financial literacy and inclusion,Open to all residents,"Workshops, awareness campaigns, free resources",Register online or at local branches,https://icicibank.com/financial-literacy,N/A,Ongoing,N/A,N/A
Rural Self-Employment Training Institute (RSETI),Government,19-60,All,All,Below Poverty Line,Rural areas,Skill development and entrepreneurship training,Unemployed youth and small entrepreneurs in rural areas,"Training, skill development, tie-up with banks for credit",Apply at local RSETI center with identity proof,https://rseti.org,N/A,Varies (up to 1 year),N/A,N/A
PM Suraksha Bima Yojana,Government,19-60,All,All,All,All India,Life insurance coverage,All residents aged 18-70 years,Rs. 2 lakh life cover at Rs. 12 per month,Register through bank or online portal,https://prsindia.org,N/A,"1 year, renewable",Rs. 12/month,Monthly
Paytm Payments Bank Savings Account,Private,All,All,All,All,All India,Digital banking and savings,Anyone with mobile number and Aadhaar,"No minimum balance, free digital transactions",Register via Paytm app or website,https://paytmbank.com,Interest around 4% p.a.,Ongoing,N/A,N/A
Mutual Funds SIP (Systematic Investment Plan),Private,19-60,All,All,Middle,All India,Financial investment and wealth building,Adult residents with PAN card,"Systematic investment, potential for capital appreciation",Invest through authorized mutual fund distributors or online platforms,https://amtfunds.com,"Varies, typically 8-15% annually",Flexible (minimum 1 year),As per SIP amount,Monthly
Pradhan Mantri Jan-Dhan Yojana,Government,6-18,All,All,Below Poverty Line,India-wide,Financial Inclusion & Bank Accounts Access,Open to all citizens with valid ID proof,"No minimum balance, overdraft facility, accidental insurance",Visit a bank branch with ID proof,https://pmjdy.gov.in/,N/A,Lifetime,N/A,N/A
Sukanya Samriddhi Yojana,Government,0-5,Female,All,All,India-wide,Child Education & Marriage Savings,Parents/Guardians of girl child,"Interest rate 7.6%, tax benefits, maturity amount up to 1.5 lakh per year",Apply at bank or post office with birth certificate of the girl,https://sukanyasamriddhi.nic.in/,Interest at 7.6% per annum,21 years or maturity of the girl,As per minimum deposit of Rs.250,Monthly or Quarterly
Atal Pension Yojana,Government,19-35,All,All,Middle,India-wide,Pension Security for Informal Workers,"Worker aged 18-40, with a savings account","Monthly pension after 60, govt co-contribution for eligible",Open a pension account via bank or post office,https://www.nps.gov.in/aptp/,Variable based on contribution and tenure,Lifetime after retirement,Minimum Rs.100/month,Monthly
Mudra Loan Scheme,Government,18-60,All,All,Below Poverty Line,Rural & Urban India,Microcredit for Small Business & Self-employment,"Small/micro business owner, self-employed","Loan amount up to Rs.10 lakh, low interest rates",Apply through bank or microfinance institution with business plan,https://mudra.org.in/,Interest rate 8-15% depending on loan type,1-5 years,As per loan agreement,Monthly/Quarterly
Digital Saksharta Abhiyan,Government,All,All,All,All,India-wide,Digital Literacy & Financial Inclusion,All citizens above 14 years,"Digital literacy, increased financial access",Join via local government or partner organizations,https://digitalsaksharta.udyami.gov.in/,N/A,N/A,N/A,N/A
