scheme_name,scheme_type,age_group,gender,social_category,annual_income_group,location,scheme_goal,eligibility,benefits,application_process,scheme_website,total_returns,time_duration
Youth Investment Plan,Private,19-35,All,All,Middle,All India,Investment and savings for youth,"Individuals aged 19-35, proof of income and identity","Investment options, educational resources, savings schemes","Online registration, KYC verification",https://youthinvestment.gov.in/,"Varies, average 10-12%",N/A
Smart Card for Rural Farmers,Government,19-60,All,All,All,Rural India,"Direct benefits transfer, subsidy distribution","Registered farmers, land ownership documents","Subsidy transfers, direct benefits, transparent transactions","Registration at local government offices, digital onboarding",https://ruralfarmers.gov.in/,N/A,Ongoing
Sukanya Samriddhi Yojana,Government,0-5,All,All,All,India,Savings for girl children,Parents or guardians of girl children,"Interest on deposits, tax benefits",Online or at bank branches,https://sukanyayojana.india.gov.in/,Interest rate 7.6% p.a.,21 years or maturity of the girl
Pradhan Mantri Jan Dhan Yojana,Government,All,All,All,Below Poverty Line,India,Bank account opening for financial inclusion,Residents of India aged 10 and above,"Zero balance account, debit card, insurance",Online or at bank branches,https://pmjdy.gov.in/,N/A,Lifetime
Atal Pension Yojana,Government,18-40,All,All,Middle,India,Pension savings for unorganized sector,Citizens aged 18-40 with savings account,Monthly pension after 60,Online or bank branch registration,https://aay.gov.in/,Variable based on contribution and duration,Lifetime
Micro Units Development & Refinance Agency (MUDRA) Yojana,Government,18+,All,All,Below Poverty Line,India,Microcredit for small businesses,Micro or small enterprise owners,Refinance and credit at low interest,Application through banks or NBFCs,https://mudra.org.in/,"Interest rates vary, typically 8-13%",N/A
LIC Micro Insurance Plan,Private,18-60,All,All,All,India,Micro insurance coverage,Individuals aged 18-60,"Insurance cover, savings component",Application at LIC branches or online,https://licindia.in/,N/A,1-5 years
Paytm Payments Bank,Private,All,All,All,All,India,Digital banking and payments,Residents of India with KYC compliant,"Instant digital savings, payments, deposits",Online KYC process,https://paytm.com/paymentsbank/,N/A,N/A
IndusInd Bank Micro Savings Account,Private,All,All,All,Below Poverty Line,India,Micro savings account for low-income groups,Low-income residents,"Basic savings account, low minimum balance",Online or branch registration,https://indusind.com/,Interest 4-6% p.a.,Lifetime
SBI Youth For India Fellowship,Government,18-30,All,All,Middle,India,Social development and leadership training,Graduates aged 18-30,"Fellowship stipend, training modules",Online application and interview,https://sbi.co.in/,N/A,1 year
National Rural Livelihoods Mission,Government,All,All,OBC,Below Poverty Line,Rural India,Rural livelihood enhancement,Women in rural areas,"Skill development, financial services","Village level meetings, online registration",https://aajeevika.gov.in/,N/A,Ongoing
Digital Saksharta Abhiyan (DISHA),Government,All,All,All,All,India,Digital literacy enhancement,Any resident willing to learn digital skills,"Digital literacy, skill development",Registration at training centers or online,https://disha.gov.in/,N/A,Varies by training program
Kotak Mahindra Bank Savings Plus,Private,All,All,All,All,India,Savings and wealth management,KYC compliant residents,"Interest on savings, wealth growth options",Online or branch registration,https://kotak.com/,Interest rate 4-6% p.a.,N/A
Swaadhar Micro Health Insurance,Private,18-65,All,All,Below Poverty Line,India,Micro health insurance coverage,Individuals aged 18-65 with BPL card,"Health coverage, cashless treatment",Apply online or at partner hospitals,https://swaadhar.in/,N/A,1 year
Punjab Government Student Loan Scheme,Government,18-35,All,All,Middle,Punjab,Student financing for higher education,Students enrolled in recognized colleges,"Loan with low interest rates, flexible repayment",Application through government portal,https://punjab.gov.in/,Interest rate 5-7%,5-10 years
HDFC Bank Mobile Banking Initiative,Private,All,All,All,All,India,Digital banking access and financial inclusion,KYC compliant residents,Easy access to banking services via mobile,"Download app, complete KYC",https://hdfcbank.com/,N/A,N/A
Pradhan Mantri Awas Yojana,Government,All,All,All,Middle,India,Affordable housing for urban poor,EWS and LIG category residents,"Housing units, subsidies",Online application and verification,https://pmay.gov.in/,N/A,"Variable, typically 5-10 years"
Pradhan Mantri Jan Dhan Yojana,Government,6-18,All,All,Below Poverty Line,India,Bank Account Access for All,Open to all residents of India aged 6 and above,"No minimum balance, RuPay Debit Card, Accident Insurance",Visit a bank branch or authorized agency with ID proof,https://pmjdy.gov.in,N/A,Lifetime
Sukanya Samriddhi Yojana,Government,0-5,Female,General,Middle,India,Savings for Girl Child Education and Marriage,Parents or guardians of girl children aged 0-10,"Interest rate 7.6%, Tax benefits, Maturity amount in INR",Apply at designated bank branches with birth certificate and ID,https://india.gov.in,Interest rate 7.6%,21 years or until marriage of girl
Mahindra Finance Microcredit,Private,19-35,All,OBC,Below Poverty Line,Rural India,Microcredit for Small Business,Small business owners or aspiring entrepreneurs in rural areas,"Access to microloans up to INR 50,000, Financial literacy support",Online application or visit local branch with business plan,https://mahindrafinance.com,Interest rates 12-18% depending on loan size,1-5 years
Kisan Credit Card Scheme,Government,19-60,Male,General,Middle,Rural India,Credit for Farmers' Agricultural Needs,Landholding farmers with valid agricultural land documents,"Credit limit up to INR 3 lakh, Flexible repayment, Subsidies on interest",Application through local bank branches with land proof,https://india.gov.in,Interest rates 7-9%,1-3 years
Indira Gandhi National Old Age Pension Scheme,Government,60+,All,All,Below Poverty Line,India,Old Age Pension Support,Elderly residents above 60 years with BPL card,Monthly pension of INR 200-500,Apply at local social welfare offices with age proof and BPL card,https://socialjustice.gov.in,N/A,Lifetime
LIC Saral Jeevan Bima,Private,18-55,All,All,All,India,Life Insurance Coverage,"Individuals aged 18-55, healthy and willing to pay premiums","Sum assured, Life cover, Maturity benefits",Apply online or through LIC agents with KYC documents,https://licindia.in,Interest rate depends on policy term,Lifelong
Mudra Yojana,Government,19-60,All,All,Below Poverty Line,India,Micro and Small Business Finance,"Micro, small and medium enterprises, individuals with business plan","Loans up to INR 10 lakh, Subsidized interest rates",Application at bank branches or through online portal,https://mudra.org.in,Interest rates 8-12%,3-5 years
Bharatiya Mahila Bank Credit Card,Private,21-50,Female,All,Middle,Urban India,Financial Access for Women,Women aged 21-50 with stable income,"Credit limit up to INR 2 lakh, Cashback and rewards",Apply online or at bank branches with ID and income proof,https://bmb.co.in,Interest rate 3-4% per month on outstanding balance,N/A
National Rural Livelihood Mission,Government,All,All,OBC,Below Poverty Line,Rural India,Skill Development and Self-Employment,Registered women’s self-help groups and individuals,"Skill training, Credit linkage, Income generation support",Application via local NGO or government office,https://nrlm.gov.in,N/A,Ongoing
SBI Youth for India Program,Private,19-30,All,All,All,Urban and Rural India,Fellowship for Youth-led Development Projects,"Graduates aged 19-30, passionate about development work","Fellowship stipend, Mentorship, Project funding",Online application with project proposal,https://sbi.co.in,N/A,1 year
Pradhan Mantri Awas Yojana,Government,36-60,All,All,Middle,"Urban, Rural, All",Affordable Housing for All,EWS and LIG households with valid income proof,"Subsidized loans, Construction assistance",Apply through government portal or local offices,https://pmay.gov.in,N/A,"Variable, up to 20 years"
Micro Finance for Women,Private,19-45,Female,OBC,Below Poverty Line,Rural India,Microcredit for Women Entrepreneurs,"Women with business plans, BPL cardholders","Microloans up to INR 50,000, Skill training",Apply at local microfinance institutions with business plan,https://microfinance.org.in,Interest rates 14-20%,1-3 years
Rural Electronic Wallet Initiative,Government,6-60,All,All,All,Rural India,Digital Payment Access,Rural residents with ID proof,"Preloaded digital wallets, Financial transactions",Registration at local banking agents with ID,https://digitalindia.gov.in,N/A,Lifetime
National Skill Development Program,Government,19-35,All,All,All,India,Skill Development and Employment,"Graduates, diploma holders, unemployed youth","Training, Job placements, Certification",Apply online or via local training centers,https://nsdcindia.org,N/A,6 months to 2 years
Post Office Monthly Income Scheme,Government,All,All,All,All,India,Savings with Regular Income,All Indian residents above 10 years of age,"Monthly interest payout, Safe investment",Visit post office with ID proof and address proof,https://indiapost.gov.in,Interest rate 7.4% annually,5 years
Tata Trusts Micro Savings Program,Private,6-60,All,All,Middle,India,Micro Savings and Financial Literacy,"Individuals with basic banking knowledge, any age group","Small savings accounts, Financial education workshops",Apply at partner banks or NGOs with ID proof,https://tatatrusts.org,N/A,Lifetime
